,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ADAMDEC1,0,3.23370231244096,1,0,0
RPS4Y1,2.22408079546895e-218,-0.861296419726581,0.689,0.971,3.91527183234354e-214
LOC693820,5.91593417200822e-208,1.11417348961951,0.383,0.061,1.04144105164033e-203
LOC106995245,2.69732134276569e-170,0.847778607814548,0.354,0.065,4.74836449180472e-166
LOC114669857,8.89721591799262e-169,-0.693467749378653,0.844,0.976,1.56626589020342e-164
RETN,2.08045087563015e-160,-0.869241547151013,0.996,0.998,3.66242572145931e-156
LOC100425072,3.44298195320402e-142,0.503408618463974,0.332,0.073,6.06102543042036e-138
MCEMP1,6.82179008429818e-140,-0.656473668914246,0.974,0.996,1.20090792643985e-135
JTB,1.11953316384923e-137,0.749609764166059,0.575,0.275,1.97082618164018e-133
TEX29,6.55616750363239e-132,0.544077417967086,0.237,0.033,1.15414772733945e-127
LOC106996676,3.45117482511052e-123,-0.546812438830779,0.682,0.892,6.07544816212455e-119
ABCA1,2.09946432580134e-119,0.953579705856737,0.487,0.218,3.69589699914068e-115
LST1,6.6782691659352e-114,-0.535879662217966,0.911,0.988,1.17564250397123e-109
MAMU-DRB5,1.28281266924125e-112,-0.50680180980592,0.999,0.999,2.25826342293229e-108
MAMU-DQA1,7.86569256073949e-109,-0.545382681834224,0.995,0.996,1.38467651839258e-104
LOC706608,8.49664349402042e-108,0.714018204738652,0.496,0.233,1.49574912068735e-103
LY86,6.12080100124006e-106,0.672937083971592,0.746,0.441,1.0775058082583e-101
CTSB,7.05675814543523e-106,0.836541755318296,1,1,1.24227170392242e-101
GPNMB,1.31649245463579e-104,0.815008809171174,0.994,0.979,2.31755331714085e-100
CSTB,7.96486085731464e-102,0.641022673148515,0.999,1,1.40213410532167e-97
UCP2,1.27341488410263e-101,0.642956149187409,0.942,0.823,2.24171956197427e-97
LOC106996627,3.87302046962014e-101,-0.420122624481893,0.925,0.99,6.8180652347193e-97
GADD45A,3.27063950957954e-98,0.727852005137317,0.677,0.378,5.75763379266383e-94
LOC114674108,7.34371169094572e-98,-0.394457223631499,0.617,0.879,1.29278700607408e-93
CHCHD6,8.00974913336339e-97,0.988319759344259,0.749,0.508,1.41003623743729e-92
ACP5,1.42282405662111e-89,0.77041204941913,0.87,0.686,2.50473946927579e-85
LOC100429752,5.64501143336434e-89,1.10295242758652,0.171,0.026,9.93747812729459e-85
ALOX5AP,6.36104845587992e-89,-0.390847848579127,0.994,0.999,1.1197989701731e-84
OAZ1,2.47125459983488e-85,-0.288971483704619,0.999,1,4.35039659754933e-81
FFAR4,1.27476622203788e-83,-0.527804589822722,0.706,0.827,2.24409845727548e-79
FUOM,6.23305363180628e-83,-0.421012988155106,0.978,0.997,1.09726676134318e-78
GLIPR2,2.194601167604e-81,-0.342090530486508,0.995,0.999,3.86337589545008e-77
GCA,4.80882046385713e-79,-0.459628286170277,0.679,0.816,8.46544754457409e-75
LOC714964,2.29351631565318e-77,-0.294613875839131,0.938,0.996,4.03750612207586e-73
DDX3Y,4.04964220434816e-75,-0.403712913828477,0.192,0.449,7.1289901365345e-71
FCER1G,1.08202082832192e-74,-0.283840458963169,1,1,1.9047894661779e-70
NR1H3,2.41375649708069e-74,0.350259991036314,0.24,0.072,4.24917693746084e-70
CD4,7.27900067974609e-74,0.457032065641278,0.731,0.471,1.2813952796625e-69
C15H9orf16,9.75690861732532e-73,-0.407001677425224,0.961,0.989,1.71760619299395e-68
RPS19BP1,1.14435605976067e-72,-0.396809759728051,0.884,0.951,2.01452440760269e-68
FTL,9.91539782427409e-70,0.536000223636663,1,1,1.74550663298521e-65
MCM7,2.03042190952653e-69,-0.788021158650296,0.672,0.825,3.5743547295305e-65
LOC718777,7.44995023161439e-69,0.484125016444121,1,1,1.3114892387734e-64
TECR,6.67291972833342e-68,-0.401694366231908,0.933,0.976,1.17470078897582e-63
MYDGF,7.45110119638412e-67,-0.330835201156361,0.977,0.991,1.31169185461146e-62
MAMU-A3,2.36424273792899e-66,-0.378609029358194,0.881,0.955,4.16201291585019e-62
LTA4H,1.45705557580471e-65,-0.332717133081387,0.992,0.998,2.56500063564661e-61
