,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ADAMDEC1,0,3.23876046705394,1,0,0
RPS4Y1,3.89238589429663e-218,-0.864076045828649,0.689,0.971,6.85215612831978e-214
LOC693820,1.22682821807398e-208,1.116213116588,0.384,0.061,2.15970839509743e-204
LOC106995245,7.32170938667248e-171,0.848665006814951,0.355,0.065,1.28891372042982e-166
LOC114669857,9.17141945611138e-170,-0.698464476577894,0.843,0.976,1.61453668105385e-165
RETN,4.66016980146617e-161,-0.870905350241941,0.994,0.998,8.20376291850104e-157
LOC100425072,4.43861449690334e-142,0.505872469771761,0.333,0.073,7.81373696034863e-138
MCEMP1,1.96174533253704e-140,-0.661478389509452,0.973,0.996,3.45345648339821e-136
JTB,2.04091071237569e-138,0.751442331804441,0.576,0.274,3.59281921806617e-134
TEX29,2.47470586802287e-132,0.545996884000107,0.237,0.033,4.35647221006746e-128
LOC106996676,9.37867404524682e-125,-0.550014148572693,0.681,0.892,1.65102177892525e-120
ABCA1,4.89661426855021e-120,0.954941212242663,0.487,0.217,8.61999975835579e-116
LST1,1.66379549393094e-114,-0.538956492611981,0.91,0.988,2.92894558751603e-110
MAMU-DRB5,6.54652671410545e-113,-0.510444757611733,0.999,0.999,1.15245056275112e-108
MAMU-DQA1,9.98083784312742e-110,-0.550078840566867,0.995,0.996,1.75702669390415e-105
LOC706608,9.23736455609204e-109,0.716173048861912,0.498,0.232,1.62614565645444e-104
LY86,2.95092505282566e-106,0.677424344589595,0.745,0.44,5.19480846299429e-102
CTSB,6.00943626712611e-104,0.835761026069674,1,1,1.05790116046488e-99
GPNMB,1.31354284015655e-102,0.815819518062629,0.994,0.979,2.31236081581159e-98
LOC106996627,1.89711024205618e-101,-0.421549318118041,0.924,0.99,3.33967287011571e-97
UCP2,5.61227248363318e-101,0.644424742474251,0.942,0.823,9.87984448018785e-97
CSTB,2.41209181206762e-100,0.639726046933392,0.999,1,4.24624642596384e-96
LOC114674108,2.50220963460794e-100,-0.397821508855059,0.616,0.879,4.40488984076382e-96
GADD45A,4.39323755269643e-98,0.728868220435321,0.676,0.378,7.73385538776679e-94
CHCHD6,3.73230196202791e-97,0.99408518253922,0.749,0.507,6.57034437395393e-93
ALOX5AP,9.94653923293641e-91,-0.397691524634753,0.993,0.999,1.75098876656612e-86
ACP5,4.03254600943015e-90,0.77344155171205,0.87,0.685,7.09889399500084e-86
LOC100429752,2.99267206165054e-89,1.10458121481387,0.172,0.026,5.26829989732961e-85
FFAR4,1.05950838036617e-87,-0.539976327795515,0.705,0.827,1.86515855279661e-83
OAZ1,4.98086689389558e-87,-0.294768748405701,0.999,1,8.76831808001379e-83
FUOM,1.81666082909525e-83,-0.424375942480993,0.978,0.997,3.19804972353928e-79
GLIPR2,8.26366509201686e-83,-0.348675199278413,0.995,0.999,1.45473560279865e-78
GCA,1.53583304920209e-78,-0.458517349952644,0.678,0.815,2.70368049981536e-74
LOC714964,1.70213865359035e-78,-0.297459892434931,0.937,0.996,2.99644488578046e-74
FCER1G,4.73405889415115e-75,-0.286793791563652,1,1,8.33383727726368e-71
NR1H3,4.77220504765291e-75,0.352697301134258,0.241,0.072,8.40098976588818e-71
DDX3Y,1.44134765020617e-74,-0.402195835562061,0.192,0.448,2.53734840342294e-70
CD4,6.9425595395586e-74,0.458623175802079,0.73,0.47,1.2221681813439e-69
C15H9orf16,1.06258444063298e-72,-0.407737105165169,0.961,0.989,1.8705736492903e-68
RPS19BP1,4.94018210488014e-72,-0.39614985806438,0.883,0.951,8.69669657743099e-68
FTL,2.51525241614542e-71,0.53775351127288,1,1,4.4278503533824e-67
MCM7,4.87892313533903e-69,-0.786455526895788,0.671,0.825,8.58885628745083e-65
TECR,7.18598937629835e-69,-0.405070021675152,0.933,0.976,1.26502156980356e-64
LOC718777,1.8687098623474e-68,0.48356769677462,1,1,3.28967684167636e-64
MYDGF,3.47181732324458e-67,-0.332293580418631,0.977,0.991,6.11178721583975e-63
LTA4H,4.41437363957009e-67,-0.339172253794761,0.992,0.998,7.77106335509919e-63
MAMU-A3,1.17158149769634e-66,-0.379918807785022,0.881,0.954,2.06245206854463e-62
CAMP,1.01226757185637e-65,-0.507781294495201,0.923,0.979,1.78199583349596e-61
TSPAN4,1.10758143963364e-65,0.502028264684899,0.587,0.364,1.94978636633105e-61
CD163,1.46745271910276e-64,-0.415092457360156,0.933,0.983,2.5833037667085e-60
MARCO,3.97746719376297e-64,0.770757709639537,0.938,0.887,7.00193324790032e-60
CST3,2.70164351772247e-63,0.361579392241861,0.76,0.514,4.75597324859863e-59
PLA2G2D,9.93056477788356e-63,0.386147823181507,0.151,0.032,1.74817662349862e-58
ECM1,1.13704889196664e-61,0.491476782253867,0.318,0.14,2.00166086941807e-57
LGMN,1.44675723896522e-61,0.56736649493605,0.887,0.739,2.54687144347437e-57
GPR137B,2.17340917520183e-60,0.344407744383027,0.693,0.446,3.8260695120253e-56
CPM,4.70945429879596e-58,0.532394408430234,0.804,0.611,8.29052334760041e-54
CD59,5.001503835882e-58,0.578866825259315,0.889,0.761,8.80464735268667e-54
MAMU-DRA,9.94344560144611e-58,-0.368112566870794,1,0.999,1.75044416367857e-53
RHOB,1.79443673092901e-54,0.516198170875934,0.607,0.374,3.15892642112743e-50
LOC697476,1.13578964780357e-53,0.394037189225299,0.999,0.999,1.9994440959934e-49
MYLIP,3.42732824502063e-53,0.411669459391577,0.373,0.196,6.03346864253432e-49
LOC114677644,9.26713441049831e-53,-0.316855826316957,0.971,0.989,1.63138634162412e-48
LTB4R,1.01258328031194e-52,-0.391996016445855,0.679,0.785,1.78255160666114e-48
ITGB2,7.3301259554599e-52,-0.357079094070047,0.831,0.928,1.29039537319916e-47
PLD3,3.21029400114766e-51,0.565720716929042,0.559,0.362,5.65140155962034e-47
FABP4,1.03936560899921e-50,-0.437001506276274,0.983,0.994,1.82969921808221e-46
CD52,3.89802336847523e-50,-0.281946210119471,0.997,0.999,6.86208033786379e-46
LOC106997433,4.52405547404077e-50,-0.311315186616265,0.232,0.432,7.96414725650137e-46
NRIP1,3.39937082737153e-49,-0.387750338956246,0.894,0.945,5.98425240450485e-45
MARCKS,7.24122088553487e-49,0.482947048954156,0.369,0.196,1.27474452468956e-44
SH3D21,1.12857870061906e-48,0.307345398823749,0.225,0.088,1.98674994456979e-44
MPC2,1.27443178274033e-48,-0.304393490016693,0.988,0.995,2.24350971033607e-44
ICAM3,2.14172245534965e-48,-0.366050908175349,0.245,0.433,3.77028821039753e-44
LOC723473,4.32502004941703e-48,0.314731798372288,0.288,0.132,7.61376529499373e-44
ALDH2,1.30459288150421e-47,-0.253367566867421,0.998,1,2.29660530860001e-43
HSPA1A,2.52495091587557e-47,0.398231738046267,0.195,0.069,4.44492359230735e-43
DOK2,2.79566051538439e-47,-0.324259878285542,0.831,0.905,4.92148077128269e-43
NEK6,4.38599803935979e-47,0.303084978314668,0.718,0.488,7.72111094848897e-43
SRSF9,1.49180309669709e-46,-0.268986045451303,0.956,0.982,2.62617017142555e-42
TMSB4X,1.56963482960661e-46,-0.285736378981884,1,1,2.76318515403948e-42
