,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
LOC693820,0,2.18566798588081,0.722,0.005,0
LOC714964,0,-1.17788369852078,0.903,0.998,0
LOC114669857,0,-1.44810081893599,0.825,0.965,0
LOC100425072,0,0.890954993741236,0.51,0.055,0
TEX29,0,1.04192549771136,0.434,0.002,0
MCEMP1,0,-1.33392834452739,0.974,0.993,0
LOC114674108,0,-1.39330695953625,0.372,0.915,0
RPS4Y1,0,-2.48160004714445,0.465,0.999,0
LOC100429752,0,1.98819989688,0.328,0,0
LOC106995245,0,1.90845667551515,0.712,0,0
LOC106996627,1.08197602656095e-306,-1.02628648160697,0.885,0.993,1.90471059715789e-302
ADAMDEC1,2.65799541790492e-294,2.37362184758825,0.701,0.208,4.67913513367982e-290
OAZ1,1.48258035948182e-270,-0.734198662023172,1,1,2.6099344648318e-266
LOC106996676,1.22657260819372e-254,-1.03327741785817,0.598,0.889,2.15925841946422e-250
FN1,1.36503075226776e-252,-1.41929953868928,0.745,0.975,2.40300013629217e-248
RPS4Y2,7.19351958218737e-247,-0.932967000150846,0.161,0.682,1.26634718724827e-242
LDHA,6.97060759077012e-245,-0.810305257879059,0.998,1,1.22710576027917e-240
RETN,7.52881204670495e-242,-1.33406412358913,0.993,0.998,1.32537207270194e-237
JTB,1.39661276300564e-241,1.0437418852153,0.704,0.275,2.45859710799513e-237
CD52,8.32935100393411e-239,-0.868106973968833,0.994,1,1.46629895073256e-234
IFI6,6.24126142086377e-237,-1.85499696250866,0.899,0.989,1.09871166052886e-232
MAMU-DQA1,6.48726481809924e-226,-1.0150773696443,0.998,0.995,1.14201809857819e-221
FCER1G,1.18066131618072e-199,-0.640446509809969,1,1,2.07843618100455e-195
DDX3Y,4.81169580209003e-199,-0.89862176770439,0,0.471,8.47050928999929e-195
ANXA5,3.04109292679607e-197,-0.631689565050058,0.999,1,5.35353998833179e-193
LOC706608,2.64788319801346e-191,0.860755704004114,0.628,0.228,4.66133358178289e-187
FUOM,3.49841080332685e-181,-0.765015092102769,0.971,0.996,6.15860237817658e-177
MAMU-DRB5,8.59363388055758e-169,-0.738170545703967,0.999,1,1.51282330833336e-164
ARPC1B,5.35192705181388e-168,-0.522680114768983,0.999,1,9.42153238201315e-164
LOC114677424,7.97018634341647e-167,0.394752174533129,0.252,0.025,1.40307160389504e-162
PSAP,3.01811911208023e-164,-0.549195932943769,0.999,1,5.31309688490604e-160
RNASEK,1.24737734053848e-161,-0.499951585664244,1,1,2.19588307028395e-157
RPS19BP1,1.04970246725553e-160,-0.723564312222551,0.857,0.95,1.84789622335663e-156
RPS15A,1.06524164600612e-159,-0.560984607426567,0.998,0.999,1.87525139362918e-155
GNG10,4.25342412231114e-156,-0.545361323335052,0.999,1,7.48772782491652e-152
GLIPR2,2.27050320070506e-155,-0.583642474601208,0.996,0.999,3.99699383452118e-151
LY86,8.32949212840417e-154,0.585523556101432,0.862,0.444,1.46632379428427e-149
C15H9orf16,1.66170175129284e-150,-0.721350266238811,0.953,0.988,2.92525976297591e-146
LY6E-1,7.82511917668654e-150,-0.834928056414776,0.739,0.917,1.3775339798639e-145
EIF1AY,2.47616686221758e-149,-0.609902857114219,0.002,0.383,4.35904414424784e-145
EMP3,2.09330030456487e-144,-0.630401525466109,0.997,0.999,3.685045856156e-140
LTA4H,2.66617103721444e-144,-0.616977722115468,0.988,0.998,4.6935274939123e-140
